,MSE,Value
0,VAE_Regression,0.17015225
1,VAE_Regression,0.12906101
2,VAE_Regression,0.103049055
3,VAE_Regression,0.08864459
4,VAE_Regression,0.083788134
5,VAE_Regression,0.08488581
6,VAE_Regression,0.0876072
7,VAE_Regression,0.0896434
8,VAE_Regression,0.09239191
9,VAE_Regression,0.10136568
10,VAE_Regression,0.12366866
11,VAE_Regression,0.13846722
12,VAE_Regression,0.097547546
13,VAE_Regression,0.07260993
14,VAE_Regression,0.060362484
15,VAE_Regression,0.056840796
16,VAE_Regression,0.0579395
17,VAE_Regression,0.060160507
18,VAE_Regression,0.06250313
19,VAE_Regression,0.06571693
20,VAE_Regression,0.076658845
21,VAE_Regression,0.10171508
22,VAE_Regression,0.11822963
23,VAE_Regression,0.07764599
24,VAE_Regression,0.054982066
25,VAE_Regression,0.045053847
26,VAE_Regression,0.042414833
27,VAE_Regression,0.04270192
28,VAE_Regression,0.04360473
29,VAE_Regression,0.0449377
30,VAE_Regression,0.048375957
31,VAE_Regression,0.05991485
32,VAE_Regression,0.08610486
33,VAE_Regression,0.10369287
34,VAE_Regression,0.06542943
35,VAE_Regression,0.04604554
36,VAE_Regression,0.037977707
37,VAE_Regression,0.03577815
38,VAE_Regression,0.0351067
39,VAE_Regression,0.034804586
40,VAE_Regression,0.03520788
41,VAE_Regression,0.038389884
42,VAE_Regression,0.050052505
43,VAE_Regression,0.07650604
44,VAE_Regression,0.09449265
45,VAE_Regression,0.058486648
46,VAE_Regression,0.04134198
47,VAE_Regression,0.03491792
48,VAE_Regression,0.032968484
49,VAE_Regression,0.03217565
50,VAE_Regression,0.031505726
51,VAE_Regression,0.031314004
52,VAE_Regression,0.03434121
53,VAE_Regression,0.045471866
54,VAE_Regression,0.07163138
55,VAE_Regression,0.08989863
56,VAE_Regression,0.055232126
57,VAE_Regression,0.039809946
58,VAE_Regression,0.033774987
59,VAE_Regression,0.031987257
60,VAE_Regression,0.03145399
61,VAE_Regression,0.030631252
62,VAE_Regression,0.030527381
63,VAE_Regression,0.033294518
64,VAE_Regression,0.04403973
65,VAE_Regression,0.069362916
66,VAE_Regression,0.08843555
67,VAE_Regression,0.05386905
68,VAE_Regression,0.03957854
69,VAE_Regression,0.033754934
70,VAE_Regression,0.03185837
71,VAE_Regression,0.0314719
72,VAE_Regression,0.030684052
73,VAE_Regression,0.030598922
74,VAE_Regression,0.03331035
75,VAE_Regression,0.04354726
76,VAE_Regression,0.06831153
77,VAE_Regression,0.08738797
78,VAE_Regression,0.05404351
79,VAE_Regression,0.04015115
80,VAE_Regression,0.034211367
81,VAE_Regression,0.03187079
82,VAE_Regression,0.031282455
83,VAE_Regression,0.030944014
84,VAE_Regression,0.031150287
85,VAE_Regression,0.0336265
86,VAE_Regression,0.043116122
87,VAE_Regression,0.06739123
88,VAE_Regression,0.08704444
89,VAE_Regression,0.054958876
90,VAE_Regression,0.04139067
91,VAE_Regression,0.035333175
92,VAE_Regression,0.032630883
93,VAE_Regression,0.031631082
94,VAE_Regression,0.031536438
95,VAE_Regression,0.031899475
96,VAE_Regression,0.033934508
97,VAE_Regression,0.042771503
98,VAE_Regression,0.06680199
99,VAE_Regression,0.08656311
100,VAE_Regression,0.05554625
101,VAE_Regression,0.043156967
102,VAE_Regression,0.037706405
103,VAE_Regression,0.03449701
104,VAE_Regression,0.0325705
105,VAE_Regression,0.03196285
106,VAE_Regression,0.031951405
107,VAE_Regression,0.033884455
108,VAE_Regression,0.042097226
109,VAE_Regression,0.065879196
110,VAE_Regression,0.08528789
111,VAE_Regression,0.055379987
112,VAE_Regression,0.045066744
113,VAE_Regression,0.040642675
114,VAE_Regression,0.036853667
115,VAE_Regression,0.03393825
116,VAE_Regression,0.032669805
117,VAE_Regression,0.03234753
118,VAE_Regression,0.033703998
119,VAE_Regression,0.041530643
120,VAE_Regression,0.065367885
121,VAE_Regression,0.08437508
122,VAE_Regression,0.055035055
123,VAE_Regression,0.046618316
124,VAE_Regression,0.04348817
125,VAE_Regression,0.039502222
126,VAE_Regression,0.036275793
127,VAE_Regression,0.034763493
128,VAE_Regression,0.03373253
129,VAE_Regression,0.03417682
130,VAE_Regression,0.041368354
131,VAE_Regression,0.06490608
132,VAE_Regression,0.083568
133,VAE_Regression,0.05488441
134,VAE_Regression,0.047515053
135,VAE_Regression,0.04552686
136,VAE_Regression,0.04230431
137,VAE_Regression,0.03937807
138,VAE_Regression,0.037372474
139,VAE_Regression,0.035613343
140,VAE_Regression,0.03505331
141,VAE_Regression,0.041602787
142,VAE_Regression,0.06553136
143,VAE_Regression,0.08308022
144,VAE_Regression,0.054608952
145,VAE_Regression,0.04790928
146,VAE_Regression,0.046966445
147,VAE_Regression,0.044903167
148,VAE_Regression,0.042374488
149,VAE_Regression,0.040071968
150,VAE_Regression,0.03788706
151,VAE_Regression,0.036553446
152,VAE_Regression,0.04203949
153,VAE_Regression,0.06611139
154,VAE_Regression,0.08223041
155,VAE_Regression,0.0541559
156,VAE_Regression,0.047879755
157,VAE_Regression,0.04796492
158,VAE_Regression,0.046447743
159,VAE_Regression,0.044334058
160,VAE_Regression,0.04237188
161,VAE_Regression,0.04030225
162,VAE_Regression,0.038150143
163,VAE_Regression,0.042819116
164,VAE_Regression,0.067175746
165,VAE_Regression,0.080731906
166,VAE_Regression,0.053070296
167,VAE_Regression,0.047350388
168,VAE_Regression,0.047818027
169,VAE_Regression,0.046656042
170,VAE_Regression,0.044876006
171,VAE_Regression,0.043454763
172,VAE_Regression,0.041706316
173,VAE_Regression,0.039715093
174,VAE_Regression,0.043952003
175,VAE_Regression,0.068561584
176,VAE_Regression,0.07833684
177,VAE_Regression,0.052027207
178,VAE_Regression,0.046731878
179,VAE_Regression,0.047204383
180,VAE_Regression,0.045896746
181,VAE_Regression,0.04441736
182,VAE_Regression,0.043547615
183,VAE_Regression,0.042390928
184,VAE_Regression,0.041113343
185,VAE_Regression,0.04592784
186,VAE_Regression,0.07095009
187,VAE_Regression,0.076460004
188,VAE_Regression,0.051508743
189,VAE_Regression,0.04696969
190,VAE_Regression,0.047269113
191,VAE_Regression,0.045707874
192,VAE_Regression,0.044012886
193,VAE_Regression,0.043674078
194,VAE_Regression,0.043111715
195,VAE_Regression,0.042764388
196,VAE_Regression,0.04841275
197,VAE_Regression,0.074374765
198,VAE_Regression,0.07487574
199,VAE_Regression,0.050853007
200,VAE_Regression,0.046971522
201,VAE_Regression,0.047561906
202,VAE_Regression,0.04631485
203,VAE_Regression,0.04467633
204,VAE_Regression,0.044512544
205,VAE_Regression,0.044321638
206,VAE_Regression,0.0446359
207,VAE_Regression,0.05128779
208,VAE_Regression,0.07832847
209,VAE_Regression,0.07434886
210,VAE_Regression,0.050081804
211,VAE_Regression,0.046411194
212,VAE_Regression,0.047312975
213,VAE_Regression,0.04714203
214,VAE_Regression,0.04623719
215,VAE_Regression,0.046025638
216,VAE_Regression,0.04604025
217,VAE_Regression,0.046340533
218,VAE_Regression,0.05323312
219,VAE_Regression,0.081234924
220,VAE_Regression,0.07539192
221,VAE_Regression,0.049124982
222,VAE_Regression,0.04482502
223,VAE_Regression,0.0461126
224,VAE_Regression,0.04684565
225,VAE_Regression,0.04669967
226,VAE_Regression,0.04687464
227,VAE_Regression,0.047326498
228,VAE_Regression,0.04746261
229,VAE_Regression,0.054489117
230,VAE_Regression,0.08357609
231,VAE_Regression,0.07925599
232,VAE_Regression,0.04921924
233,VAE_Regression,0.042967167
234,VAE_Regression,0.04384068
235,VAE_Regression,0.04528523
236,VAE_Regression,0.04653008
237,VAE_Regression,0.04757781
238,VAE_Regression,0.04829138
239,VAE_Regression,0.048208483
240,VAE_Regression,0.056168832
241,VAE_Regression,0.08738489
242,VAE_Regression,0.08909013
243,VAE_Regression,0.052938767
244,VAE_Regression,0.043176398
245,VAE_Regression,0.0431581
246,VAE_Regression,0.044874094
247,VAE_Regression,0.047057595
248,VAE_Regression,0.049636416
249,VAE_Regression,0.050812982
250,VAE_Regression,0.050517704
251,VAE_Regression,0.0600836
252,VAE_Regression,0.094436236
253,VAE_Regression,0.10729926
254,VAE_Regression,0.06432644
255,VAE_Regression,0.049466513
256,VAE_Regression,0.047140554
257,VAE_Regression,0.04885749
258,VAE_Regression,0.05203335
259,VAE_Regression,0.0556369
260,VAE_Regression,0.057161782
261,VAE_Regression,0.057818312
262,VAE_Regression,0.06991992
263,VAE_Regression,0.1075441
264,VAE_Regression,0.13712777
265,VAE_Regression,0.08780348
266,VAE_Regression,0.06648434
267,VAE_Regression,0.06036148
268,VAE_Regression,0.060856655
269,VAE_Regression,0.06422808
270,VAE_Regression,0.06824308
271,VAE_Regression,0.07104745
272,VAE_Regression,0.07396644
273,VAE_Regression,0.089384116
274,VAE_Regression,0.12879455
275,VAE_Regression,0.18164492
276,VAE_Regression,0.12702173
277,VAE_Regression,0.09855883
278,VAE_Regression,0.08693278
279,VAE_Regression,0.08414501
280,VAE_Regression,0.08585122
281,VAE_Regression,0.09089616
282,VAE_Regression,0.09558758
283,VAE_Regression,0.102216005
284,VAE_Regression,0.12004738
285,VAE_Regression,0.15917215
